year,P_atlantic_salmon_t,FP_eFCR,MF_marine_share,WM_FFDR_FM,F_total_feed_t,M_marine_ingredients_t,W_wild_fish_t
2000,439873.69,1.50,0.65,1.80,659810.54,426237.61,767227.69
2004,563850.86,1.38,0.55,1.52,778114.19,430452.77,654288.21
2005,586356.59,1.35,0.53,1.45,791581.40,419538.14,608330.30
2006,629766.06,1.32,0.51,1.38,831291.20,421298.38,581391.76
2007,744124.94,1.29,0.48,1.31,959921.17,464217.88,608125.42
2008,737254.37,1.26,0.46,1.24,928940.50,427684.21,530328.42
2009,862304.94,1.23,0.44,1.17,1060635.08,463709.66,542540.30
2010,939536.41,1.20,0.41,1.10,1127443.69,466761.69,513437.86
2011,1064868.23,1.17,0.36,0.90,1251220.17,451064.87,405958.38
2012,1232094.92,1.15,0.31,0.70,1416909.16,434991.11,304493.78
2013,1168323.62,1.15,0.29,0.70,1343572.16,392323.07,274626.15
